"Name","Picture","Position","Year","School","Agent","Hometown","","","",""
"Salahadin Allah","","RB","Junior","Iowa State","Luke Mazur","La Marque, TX","","","",""
"Jaiden Allos","","LB","Sophomore","Mercyhurst","Shane Simpson","West Bloomfield, MI","","","",""
"Quory Ambrose","","OL","Junior","Harding","Shane Simpson","Jacksonville, FL","","","",""
"Maddox Arnold","","LB","Redshirt Freshman","Toledo","Shane Simpson","Cincinnati, OH","","","",""
"Sean Brady","","WR","Redshirt Freshman","Gardner-Webb","Luke Mazur","Charlotte, NC","","","",""
"RJ Chapman","","DB","Senior","New Mexico State","Shane Simpson","Accokeek, MD","","","",""
"Shacre Colwell","","WR","Freshman","Bryant","Shane Simpson","Betlehem, PA","","","",""
"Malik Diaby","","CB","Redshirt Freshman","New Hampshire","Luke Mazur","Tolland, CT","","","",""
"Fabian Duncan","","RB","Junior","Johnson C. Smith","Shane Simpson","Charlotte, NC","","","",""
"Jamai East","","WR","Redshirt Junior","Eastern Washington","Luke Mazur","Fairfield, CA","","","",""
"Aeron Gresham","","CB","Junior","Allen","Shane Simpson","Covington, GA","","","",""
"JR Hays","","RB","Redhshirt Sophomore","Western Michigan","Shane Simpson","Florence, KY","","","",""
"Nick Herman","","RB","Sophomore","James Madison","Shane Simpson","Chicago, IL","","","",""
"Wynden Ho'ohuli","","DL","Senior","Hawaii","Shane Simpson","Kapolei, HI","","","",""
"Chris Kalu","","DL","Sophomore","Nevada","Shane Simpson","Gilbert, AZ","","","",""
"DJ Kelly","","CB","Redshirt Freshman","James Madison","Shane Simpson","Allentown, PA","","","",""
"Nic Lendino","","DB","Redshirt Junior","Valparaiso","Tony Storniolo","Naperville, IL","","","",""
"Tre Leonard","","RB","Redhsirt Freshman","Prairie View A&M","Shane Simpson","Florence, SC","","","",""
"Justin Montgomery","","RB","Junior","West Georgia","Shane Simpson","Davie, FL","","","",""
"Jason Oliver","","CB","Senior","San Diego State","Luke Mazur","Bakersfield, CA","","","",""
"Justin Ross","","CB","Junior","Virginia","Shane Simpson","Gastonia, NC","","","",""
"Tyrell Russell","","DB","Redshirt Freshman","Toledo","Shane Simpson","Columbus, OH","","","",""
"Trajan Sinatra","","K","Junior","San Jose State","Tony Storniolo","San Jose, CA","","","",""
"Calvin Smith Jr.","","RB","Sophomore","SE Louisiana","Shane Simpson","New Orleans, LA","","","",""
"Cal Swanson","","QB","Junior","Holy Cross","Tony Storniolo","Ardmore, OK","","","",""
"Mytrell Tillman","","OL","Freshman","Grambling State","Tony Storniolo","East St. Louis, IL","","","",""
